case_id;activity;timestamp;resource;currency_pair;option_type;booking_system;client_type;trading_strategy;strike_price;premium;notional_amount;delta;gamma;vega;theta;risk_score;limit_usage
Case_1251;Volatility Surface Analysis;2024-11-03 20:28:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Trade Execution;2024-11-03 20:36:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;0.9399;0.0024;39459114.0;;;;;;
Case_1251;Trade Allocation;2024-11-03 21:30:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Quote Requested;2024-11-03 21:38:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Quote Provided;2024-11-03 22:08:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Position Reconciliation;2024-11-03 22:25:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Credit Check;2024-11-03 22:27:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Collateral Management;2024-11-03 23:03:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Settlement Instructions;2024-11-03 23:18:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Final Settlement;2024-11-03 23:42:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Trade Confirmation;2024-11-04 00:03:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Greeks Calculation;2024-11-04 00:54:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;-0.13;0.06;14229.98;-118.12;;
Case_1251;Exercise Decision;2024-11-04 00:56:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Trade Validation;2024-11-04 01:08:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Risk Assessment;2024-11-04 01:19:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;2.18;17%
Case_1251;Strategy Validation;2024-11-04 01:58:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Premium Settlement;2024-11-04 02:46:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
Case_1251;Trade Matching;2024-11-04 05:18:10.513227;Hedge Desk C;EUR/GBP;Risk Reversal;Murex;Corporate;Gamma Scalping;;;;;;;;;
