case_id;activity;timestamp;resource;currency_pair;option_type;booking_system;client_type;trading_strategy;strike_price;premium;notional_amount;delta;gamma;vega;theta;risk_score;limit_usage
Case_1505;Regulatory Reporting Generation;2024-10-23 19:08:10.537950;Client Desk D;EUR/GBP;Vanilla Put;Summit;Hedge Fund;Delta Hedge;;;;;;;;;
Case_1506;Trade Initiated;2024-10-26 19:18:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Volatility Surface Analysis;2024-10-26 19:52:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Market Data Validation;2024-10-26 20:06:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Trade Allocation;2024-10-26 21:02:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Quote Provided;2024-10-26 21:18:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Trade Confirmation;2024-10-26 21:54:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Premium Calculation;2024-10-26 22:06:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Settlement Instructions;2024-10-26 22:36:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Quote Requested;2024-10-26 22:38:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Credit Check;2024-10-26 23:06:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Trade Matching;2024-10-26 23:28:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Greeks Calculation;2024-10-26 23:37:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;0.12;0.067;12231.59;-117.75;;
Case_1506;Position Reconciliation;2024-10-27 00:41:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Trade Execution;2024-10-27 01:12:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;0.9431;0.0376;1717396.0;;;;;;
Case_1506;Initial Margin Calculation;2024-10-27 02:21:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Premium Settlement;2024-10-27 02:30:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Collateral Management;2024-10-27 03:34:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Risk Assessment;2024-10-27 06:03:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;1.8;86%
Case_1506;Final Settlement;2024-10-27 08:15:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Trade Validation;2024-10-27 09:04:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Strategy Validation;2024-10-27 11:10:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Exercise Decision;2024-10-27 14:18:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1506;Trade Reconciliation;2024-10-27 16:12:10.538962;Options Desk A;GBP/USD;Strangle;Summit;Corporate;Vega Trading;;;;;;;;;
Case_1507;Trade Initiated;2024-10-28 19:18:10.538962;Market Maker B;EUR/GBP;Strangle;Murex;Asset Manager;Delta Hedge;;;;;;;;;
